domain,domain_length,domain_entropy,numeric_ratio,special_char_ratio,vowel_ratio,consonant_ratio,dns_record_type,ip_count,has_mx_response,has_txt_dns_response,has_spf_info,has_dkim_info,has_dmarc_info,label
wbx2.com,8,3.0,0.125,0.125,0.125,0.625,0,0,False,False,False,False,False,0
linode.com,10,3.121928094887362,0.0,0.1,0.4,0.5,0,0,False,False,False,False,False,0
rakuten.co.jp,13,3.546593564294939,0.0,0.15384615384615385,0.3076923076923077,0.5384615384615384,0,0,False,False,False,False,False,0
netangels.ru,12,3.2516291673878226,0.0,0.08333333333333333,0.3333333333333333,0.5833333333333334,0,0,False,False,False,False,False,0
merriam-webster.com,19,3.4971558025756706,0.0,0.10526315789473684,0.3157894736842105,0.5789473684210527,0,0,False,False,False,False,False,0
okcdn.ru,8,3.0,0.0,0.125,0.25,0.625,0,0,False,False,False,False,False,0
appsflyersdk.com,16,3.75,0.0,0.0625,0.1875,0.75,0,0,False,False,False,False,False,0
tradingview.com,15,3.7735572622751845,0.0,0.06666666666666667,0.3333333333333333,0.6,0,0,False,False,False,False,False,0
kohls.com,9,2.94770277922009,0.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,0,0,False,False,False,False,False,0
wbbasket.ru,11,3.2776134368191165,0.0,0.09090909090909091,0.2727272727272727,0.6363636363636364,0,0,False,False,False,False,False,0
python.org,10,3.121928094887362,0.0,0.1,0.2,0.7,0,0,False,False,False,False,False,0
ebay.co.uk,10,3.121928094887362,0.0,0.2,0.4,0.4,0,0,False,False,False,False,False,0
washington.edu,14,3.6644977792004623,0.0,0.07142857142857142,0.35714285714285715,0.5714285714285714,0,0,False,False,False,False,False,0
yandex.com,10,3.321928094887362,0.0,0.1,0.3,0.6,0,0,False,False,False,False,False,0
mgid.com,8,2.75,0.0,0.125,0.25,0.625,0,0,False,False,False,False,False,0
herokudns.com,13,3.5465935642949384,0.0,0.07692307692307693,0.3076923076923077,0.6153846153846154,0,0,False,False,False,False,False,0
oup.com,7,2.5216406363433186,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0,0,False,False,False,False,False,0
github.io,9,2.94770277922009,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,0,0,False,False,False,False,False,0
mailchi.mp,10,2.9219280948873623,0.0,0.1,0.3,0.6,0,0,False,False,False,False,False,0
skyhigh.cloud,13,3.5465935642949384,0.0,0.07692307692307693,0.23076923076923078,0.6923076923076923,0,0,False,False,False,False,False,0
box.com,7,2.5216406363433186,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0,0,False,False,False,False,False,0
dynatrace.com,13,3.3927474104487847,0.0,0.07692307692307693,0.3076923076923077,0.6153846153846154,0,0,False,False,False,False,False,0
free.fr,7,1.950212064914747,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0,0,False,False,False,False,False,0
shopeemobile.com,16,3.2806390622295662,0.0,0.0625,0.4375,0.5,0,0,False,False,False,False,False,0
service.gov.uk,14,3.3787834934861767,0.0,0.14285714285714285,0.35714285714285715,0.5,0,0,False,False,False,False,False,0
everesttech.net,15,2.815922063835166,0.0,0.06666666666666667,0.3333333333333333,0.6,0,0,False,False,False,False,False,0
name.com,8,2.75,0.0,0.125,0.375,0.5,0,0,False,False,False,False,False,0
columbia.edu,12,3.418295834054489,0.0,0.08333333333333333,0.5,0.4166666666666667,0,0,False,False,False,False,False,0
nikkei.com,10,2.9219280948873623,0.0,0.1,0.4,0.5,0,0,False,False,False,False,False,0
fb.com,6,2.584962500721156,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0,0,False,False,False,False,False,0
g.co,4,2.0,0.0,0.25,0.25,0.5,0,0,False,False,False,False,False,0
samsungapps.com,15,3.189898095464287,0.0,0.06666666666666667,0.26666666666666666,0.6666666666666666,0,0,False,False,False,False,False,0
weather.com,11,3.2776134368191165,0.0,0.09090909090909091,0.36363636363636365,0.5454545454545454,0,0,False,False,False,False,False,0
tencent-cloud.net,17,3.130717987927375,0.0,0.11764705882352941,0.29411764705882354,0.5882352941176471,0,0,False,False,False,False,False,0
aol.com,7,2.5216406363433186,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0,0,False,False,False,False,False,0
express.co.uk,13,3.238901256602631,0.0,0.15384615384615385,0.3076923076923077,0.5384615384615384,0,0,False,False,False,False,False,0
mirtesen.ru,11,3.0957952550009344,0.0,0.09090909090909091,0.36363636363636365,0.5454545454545454,0,0,False,False,False,False,False,0
360yield.com,12,3.584962500721156,0.25,0.08333333333333333,0.25,0.4166666666666667,0,0,False,False,False,False,False,0
onedrive.com,12,3.2516291673878226,0.0,0.08333333333333333,0.4166666666666667,0.5,0,0,False,False,False,False,False,0
trbcdn.net,10,2.9219280948873623,0.0,0.1,0.1,0.8,0,0,False,False,False,False,False,0
2gis.com,8,3.0,0.125,0.125,0.25,0.5,0,0,False,False,False,False,False,0
statcounter.com,15,3.32323142879762,0.0,0.06666666666666667,0.3333333333333333,0.6,0,0,False,False,False,False,False,0
weforum.org,11,3.095795255000934,0.0,0.09090909090909091,0.36363636363636365,0.5454545454545454,0,0,False,False,False,False,False,0
agora.io,8,2.5,0.0,0.125,0.625,0.25,0,0,False,False,False,False,False,0
bandcamp.com,12,3.084962500721156,0.0,0.08333333333333333,0.25,0.6666666666666666,0,0,False,False,False,False,False,0
kaspersky.com,13,3.3927474104487847,0.0,0.07692307692307693,0.23076923076923078,0.6923076923076923,0,0,False,False,False,False,False,0
dell.com,8,2.75,0.0,0.125,0.25,0.625,0,0,False,False,False,False,False,0
entrust.net,11,2.663532754804255,0.0,0.09090909090909091,0.2727272727272727,0.6363636363636364,0,0,False,False,False,False,False,0
tiktokcdn-us.com,16,3.5,0.0,0.125,0.25,0.625,0,0,False,False,False,False,False,0
oracle.com,10,2.9219280948873623,0.0,0.1,0.4,0.5,0,0,False,False,False,False,False,0
nasa.gov,8,2.75,0.0,0.125,0.375,0.5,0,0,False,False,False,False,False,0
google.cn,9,2.725480556997868,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,0,0,False,False,False,False,False,0
demdex.net,10,2.6464393446710153,0.0,0.1,0.3,0.6,0,0,False,False,False,False,False,0
ibm.com,7,2.5216406363433186,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0,0,False,False,False,False,False,0
miit.gov.cn,11,3.0957952550009344,0.0,0.18181818181818182,0.2727272727272727,0.5454545454545454,0,0,False,False,False,False,False,0
ibyteimg.com,12,3.2516291673878226,0.0,0.08333333333333333,0.3333333333333333,0.5833333333333334,0,0,False,False,False,False,False,0
casalemedia.com,15,3.189898095464287,0.0,0.06666666666666667,0.4666666666666667,0.4666666666666667,0,0,False,False,False,False,False,0
linkos.bg,9,3.169925001442312,0.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,0,0,False,False,False,False,False,0
allawnos.com,12,3.0849625007211556,0.0,0.08333333333333333,0.3333333333333333,0.5833333333333334,0,0,False,False,False,False,False,0
